x,y,V_teorica
0.010050251,0.75879397,0.56061716
0.010050251,0.7638191,0.56816747
0.010050251,0.76884422,0.57576829
0.010050251,0.77386935,0.58341961
0.010050251,0.77889447,0.59112144
0.010050251,0.7839196,0.59887377
0.010050251,0.78894472,0.6066766
0.010050251,0.79396985,0.61452994
0.010050251,0.79899497,0.62243378
0.010050251,0.8040201,0.63038812
0.010050251,0.80904523,0.63839297
0.010050251,0.81407035,0.64644832
0.010050251,0.81909548,0.65455418
0.010050251,0.8241206,0.66271054
0.010050251,0.82914573,0.6709174
0.010050251,0.83417085,0.67917477
0.010050251,0.83919598,0.68748264
0.010050251,0.84422111,0.69584101
0.010050251,0.84924623,0.70424989
0.010050251,0.85427136,0.71270928
0.010050251,0.85929648,0.72121916
0.010050251,0.86432161,0.72977955
0.010050251,0.86934673,0.73839044
0.010050251,0.87437186,0.74705184
0.010050251,0.87939698,0.75576374
0.010050251,0.88442211,0.76452615
0.010050251,0.88944724,0.77333906
0.010050251,0.89447236,0.78220247
0.010050251,0.89949749,0.79111639
0.010050251,0.90452261,0.80008081
0.010050251,0.90954774,0.80909573
0.010050251,0.91457286,0.81816116
0.010050251,0.91959799,0.82727709
0.010050251,0.92462312,0.83644352
0.010050251,0.92964824,0.84566046
0.010050251,0.93467337,0.85492791
0.010050251,0.93969849,0.86424585
0.010050251,0.94472362,0.8736143
0.010050251,0.94974874,0.88303326
0.010050251,0.95477387,0.89250271
0.010050251,0.95979899,0.90202268
0.010050251,0.96482412,0.91159314
0.010050251,0.96984925,0.92121411
0.010050251,0.97487437,0.93088558
0.010050251,0.9798995,0.94060756
0.010050251,0.98492462,0.95038004
0.010050251,0.98994975,0.96020303
0.010050251,0.99497487,0.97007651
0.010050251,1,0.98000051
0.020100503,0,0.0004040302
0.020100503,0.0050251256,0.00022726699
0.020100503,0.010050251,0.00010100755
0.020100503,0.015075377,2.5251888e-05
0.020100503,0.020100503,0
0.020100503,0.025125628,2.5251888e-05
0.020100503,0.030150754,0.00010100755
0.020100503,0.035175879,0.00022726699
0.020100503,0.040201005,0.0004040302
0.020100503,0.045226131,0.00063129719
0.020100503,0.050251256,0.00090906795
0.020100503,0.055276382,0.0012373425
0.020100503,0.060301508,0.0016161208
0.020100503,0.065326633,0.0020454029
0.020100503,0.070351759,0.0025251888
0.020100503,0.075376884,0.0030554784
0.020100503,0.08040201,0.0036362718
0.020100503,0.085427136,0.004267569
0.020100503,0.090452261,0.00494937
0.020100503,0.095477387,0.0056816747
0.020100503,0.10050251,0.0064644832
0.020100503,0.10552764,0.0072977955
0.020100503,0.11055276,0.0081816116
0.020100503,0.11557789,0.0091159314
0.020100503,0.12060302,0.010100755
0.020100503,0.12562814,0.011136082
0.020100503,0.13065327,0.012221914
0.020100503,0.13567839,0.013358249
0.020100503,0.14070352,0.014545087
0.020100503,0.14572864,0.01578243
0.020100503,0.15075377,0.017070276
0.020100503,0.15577889,0.018408626
0.020100503,0.16080402,0.01979748
0.020100503,0.16582915,0.021236837
0.020100503,0.17085427,0.022726699
0.020100503,0.1758794,0.024267064
0.020100503,0.18090452,0.025857933
0.020100503,0.18592965,0.027499306
0.020100503,0.19095477,0.029191182
0.020100503,0.1959799,0.030933562
0.020100503,0.20100503,0.032726446
0.020100503,0.20603015,0.034569834
0.020100503,0.21105528,0.036463726
0.020100503,0.2160804,0.038408121
0.020100503,0.22110553,0.04040302
0.020100503,0.22613065,0.042448423
0.020100503,0.23115578,0.04454433
0.020100503,0.2361809,0.04669074
0.020100503,0.24120603,0.048887654
0.020100503,0.24623116,0.051135072
0.020100503,0.25125628,0.053432994
0.020100503,0.25628141,0.05578142
0.020100503,0.26130653,0.058180349
0.020100503,0.26633166,0.060629782
0.020100503,0.27135678,0.063129719
0.020100503,0.27638191,0.06568016
0.020100503,0.28140704,0.068281104
0.020100503,0.28643216,0.070932552
0.020100503,0.29145729,0.073634504
0.020100503,0.29648241,0.07638696
0.020100503,0.30150754,0.079189919
0.020100503,0.30653266,0.082043383
0.020100503,0.31155779,0.08494735
0.020100503,0.31658291,0.087901821
0.020100503,0.32160804,0.090906795
0.020100503,0.32663317,0.093962274
0.020100503,0.33165829,0.097068256
0.020100503,0.33668342,0.10022474
0.020100503,0.34170854,0.10343173
0.020100503,0.34673367,0.10668923
0.020100503,0.35175879,0.10999722
0.020100503,0.35678392,0.11335572
0.020100503,0.36180905,0.11676473
