x,y,V,Exact,Error,Boundary
1.32,0.08,0.558878,0.55893,-5.16294e-05,0
1.36,0.08,0.618374,0.618424,-4.94719e-05,0
1.4,0.08,0.676157,0.676204,-4.74314e-05,0
1.44,0.08,0.732322,0.732368,-4.55009e-05,0
1.48,0.08,0.786958,0.787002,-4.36737e-05,0
1.52,0.08,0.840145,0.840187,-4.19437e-05,0
1.56,0.08,0.891958,0.891998,-4.03051e-05,0
1.6,0.08,0.942465,0.942504,-3.87526e-05,0
1.64,0.08,0.991732,0.991769,-3.72811e-05,0
1.68,0.08,1.03982,1.03985,-3.58861e-05,0
1.72,0.08,1.08678,1.08681,-3.45629e-05,0
1.76,0.08,1.13266,1.13269,-3.33074e-05,0
1.8,0.08,1.17751,1.17755,-3.21151e-05,0
1.84,0.08,1.22139,1.22142,-3.09817e-05,0
1.88,0.08,1.26432,1.26435,-2.99021e-05,0
1.92,0.08,1.30636,1.30638,-2.88701e-05,0
1.96,0.08,1.34753,1.34755,-2.78775e-05,0
2,0.08,5.52512,1.38789,4.13723,1
0,0.1,-18.5023,-4.60517,-13.8972,1
0.04,0.1,-4.43683,-4.45675,0.0199227,0
0.08,0.1,-4.09456,-4.11047,0.015909,0
0.12,0.1,-3.70368,-3.71317,0.00949319,0
0.16,0.1,-3.33017,-3.33541,0.0052356,0
0.2,0.1,-2.99285,-2.99573,0.00288639,0
0.24,0.1,-2.69252,-2.69415,0.00162358,0
0.28,0.1,-2.42495,-2.42588,0.000929646,0
0.32,0.1,-2.18516,-2.18569,0.000535018,0
0.36,0.1,-1.96867,-1.96897,0.000302839,0
0.4,0.1,-1.77179,-1.77196,0.000162144,0
0.44,0.1,-1.59152,-1.5916,7.48458e-05,0
0.48,0.1,-1.42543,-1.42545,1.9734e-05,0
0.52,0.1,-1.27155,-1.27154,-1.54246e-05,0
0.56,0.1,-1.12829,-1.12825,-3.79134e-05,0
0.6,0.1,-0.994304,-0.994252,-5.21936e-05,0
0.64,0.1,-0.868514,-0.868453,-6.10668e-05,0
0.68,0.1,-0.749996,-0.749929,-6.63311e-05,0
0.72,0.1,-0.637971,-0.637902,-6.91632e-05,0
0.76,0.1,-0.531779,-0.531709,-7.03455e-05,0
0.8,0.1,-0.430853,-0.430783,-7.04061e-05,0
0.84,0.1,-0.334704,-0.334634,-6.97056e-05,0
0.88,0.1,-0.242905,-0.242836,-6.84929e-05,0
0.92,0.1,-0.155085,-0.155018,-6.69412e-05,0
0.96,0.1,-0.0709169,-0.0708517,-6.51721e-05,0
1,0.1,0.00988706,0.00995033,-6.32709e-05,0
1.04,0.1,0.0875832,0.0876445,-6.12981e-05,0
1.08,0.1,0.1624,0.162459,-5.92964e-05,0
1.12,0.1,0.23454,0.234598,-5.72961e-05,0
1.16,0.1,0.304189,0.304244,-5.53182e-05,0
1.2,0.1,0.37151,0.371564,-5.33777e-05,0
1.24,0.1,0.436654,0.436705,-5.14846e-05,0
1.28,0.1,0.499755,0.499805,-4.96457e-05,0
1.32,0.1,0.560938,0.560986,-4.78655e-05,0
1.36,0.1,0.620315,0.620361,-4.61465e-05,0
1.4,0.1,0.677989,0.678034,-4.44901e-05,0
1.44,0.1,0.734054,0.734097,-4.28967e-05,0
1.48,0.1,0.788598,0.788639,-4.1366e-05,0
1.52,0.1,0.8417,0.84174,-3.98974e-05,0
1.56,0.1,0.893434,0.893472,-3.84898e-05,0
1.6,0.1,0.943869,0.943906,-3.71417e-05,0
1.64,0.1,0.993068,0.993104,-3.58518e-05,0
1.68,0.1,1.04109,1.04112,-3.46181e-05,0
1.72,0.1,1.08799,1.08802,-3.3439e-05,0
1.76,0.1,1.13382,1.13385,-3.23121e-05,0
1.8,0.1,1.17862,1.17865,-3.12352e-05,0
1.84,0.1,1.22245,1.22248,-3.02053e-05,0
1.88,0.1,1.26534,1.26537,-2.92188e-05,0
1.92,0.1,1.30733,1.30736,-2.82707e-05,0
1.96,0.1,1.34846,1.34849,-2.73539e-05,0
2,0.1,5.5288,1.38879,4.14001,1
0,0.12,-17.0385,-4.24053,-12.798,1
0.04,0.12,-4.1212,-4.13517,0.0139697,0
0.08,0.12,-3.85979,-3.8728,0.0130078,0
0.12,0.12,-3.53831,-3.54738,0.00906776,0
0.16,0.12,-3.21322,-3.21888,0.00565993,0
0.2,0.12,-2.90795,-2.91139,0.00343981,0
0.24,0.12,-2.62899,-2.63109,0.00210356,0
0.28,0.12,-2.376,-2.37731,0.00130663,0
0.32,0.12,-2.14647,-2.14729,0.000823535,0
0.36,0.12,-1.93742,-1.93794,0.000523487,0
0.4,0.12,-1.74607,-1.7464,0.000332364,0
0.44,0.12,-1.57001,-1.57022,0.00020775,0
0.48,0.12,-1.40719,-1.40731,0.000124832,0
0.52,0.12,-1.2559,-1.25597,6.87145e-05,0
0.56,0.12,-1.11471,-1.11474,3.02209e-05,0
0.6,0.12,-0.982427,-0.982431,3.55707e-06,0
0.64,0.12,-0.858037,-0.858022,-1.50203e-05,0
0.68,0.12,-0.740686,-0.740658,-2.79804e-05,0
0.72,0.12,-0.629646,-0.629609,-3.69832e-05,0
0.76,0.12,-0.524292,-0.524249,-4.31638e-05,0
